STATE,CONSTITUENCY, Assets ,WINNER,PARTY,GENDER,"CRIMINAL
CASES",AGE,EDUCATION,"GENERAL
VOTES","POSTAL
VOTES","TOTAL
VOTES",VoteAcc,VoteShare,Total Voters
Uttar Pradesh,DEORIA,29451678,1,BJP,MALE,1,69,Graduate Professional,577617,3027,580644,33.10031097,57.17273404,1754195
Madhya Pradesh,DEWAS,3812464,1,BJP,MALE,0,35,Graduate Professional,860708,1721,862429,48.98764728,61.61545078,1760503
Jharkhand,DHANBAD,27286918,1,BJP,MALE,0,69,Graduate,824704,2530,827234,39.91220833,66.00631151,2072634
Madhya Pradesh,DHAR,23198238,1,BJP,MALE,1,65,Post Graduate,721025,1122,722147,40.43034435,53.72422023,1786151
Tamil Nadu,DHARMAPURI,48477451,1,DMK,MALE,1,41,Post Graduate,568310,6678,574988,38.69877857,46.95830424,1485804
Karnataka,DHARWAD,111384447,1,BJP,MALE,1,56,Graduate,682557,2280,684837,39.64757939,56.4052027,1727311
Uttar Pradesh,DHAURAHRA,24735488,1,BJP,FEMALE,3,45,12th Pass,512582,323,512905,31.18581555,48.20748661,1644674
Odisha,DHENKANAL,14529286,1,BJD,MALE,1,58,12th Pass,521954,930,522884,34.75691022,46.14172269,1504403
Assam,DHUBRI,788064044,1,AIUDF,MALE,7,63,Post Graduate,718131,633,718764,38.67304147,42.65514896,1858566
Maharashtra,DHULE,158651112,1,BJP,MALE,2,66,Post Graduate,610268,3265,613533,32.15290228,56.36095898,1908173
West Bengal,DIAMOND HARBOUR,13794320,1,AITC,MALE,0,31,Graduate,790725,402,791127,46.01742681,56.13325926,1719190
Assam,DIBRUGARH,4370067,1,BJP,MALE,0,48,10th Pass,657983,1600,659583,50.18439207,64.9200978,1314319
Tamil Nadu,DINDIGUL,148076407,1,DMK,MALE,0,52,Illiterate,743813,2710,746523,48.41638233,64.30382167,1541881
Maharashtra,DINDORI,122885349,1,BJP,FEMALE,0,40,Graduate Professional,565452,2018,567470,32.74616027,49.83481192,1732936
Uttar Pradesh,DOMARIYAGANJ,103366710,1,BJP,MALE,3,68,Post Graduate,492145,108,492253,26.10822023,49.9581866,1885433
West Bengal,DUM DUM,42518790,1,AITC,MALE,1,71,Post Graduate,511707,355,512062,32.69463081,42.50553045,1566196
Jharkhand,DUMKA,4737559,1,BJP,MALE,0,39,12th Pass,483748,1175,484923,34.7054542,47.26432556,1397253
Chhattisgarh,DURG,34429027,1,BJP,MALE,0,59,Graduate,847445,1929,849374,43.77609496,60.98674607,1940269
NCT OF Delhi,EAST DELHI,1471587789,1,BJP,MALE,1,37,12th Pass,695109,1047,696156,34.13697432,55.32973824,2039302
Andhra Pradesh,ELURU,462808829,1,YSRCP,MALE,0,46,Graduate,672834,3975,676809,42.43449638,50.80347693,1594950
Kerala,ERNAKULAM,7908467,1,INC,MALE,7,35,Graduate,490854,409,491263,39.42809309,50.78231117,1245972
Tamil Nadu,ERODE,43110000,1,DMK,MALE,0,72,Graduate,558929,4662,563591,38.54283069,52.72118039,1462246
Uttar Pradesh,ETAH,383629735,1,BJP,MALE,0,58,Graduate Professional,544267,1081,545348,33.6365683,54.51561051,1621295
Uttar Pradesh,FAIZABAD,31884642,1,BJP,MALE,1,64,Post Graduate,528113,908,529021,29.03860774,48.64918799,1821785
Haryana,FARIDABAD,369652786,1,BJP,MALE,0,62,Graduate Professional,910787,2435,913222,44.07833514,68.76014116,2071816
Punjab,FARIDKOT,19793884,1,INC,MALE,0,78,5th Pass,417936,1129,419065,27.17722966,42.97036018,1541971
Uttar Pradesh,FARRUKHABAD,74964501,1,BJP,MALE,0,50,Graduate,567930,1950,569880,33.35391567,56.80389856,1708585
Punjab,FATEHGARH SAHIB,32808836,1,INC,MALE,0,65,Post Graduate,410723,928,411651,27.39115594,41.70049262,1502861
