State,Constituency,Assets,Party,Gender,Criminal Cases,Age,Education Level,General Votes,Postal Votes,Total Votes,Vote Share,Voters in Constituency,Region
Uttar Pradesh,FARRUKHABAD,74964501,BJP,MALE,0,50,Graduate,567930,1950,569880,56.80389856,1708585,NORTH
Punjab,FATEHGARH SAHIB,32808836,INC,MALE,0,65,Post Graduate,410723,928,411651,41.70049262,1502861,NORTH
Uttar Pradesh,FATEHPUR,10667372,BJP,FEMALE,0,52,High School,563715,2325,566040,54.1930073,1839312,NORTH
Uttar Pradesh,FATEHPUR SIKRI,14854247,BJP,MALE,3,52,Graduate,662794,4353,667147,64.24388036,1718837,NORTH
Uttar Pradesh,FIROZABAD,42872395,BJP,MALE,0,68,Graduate Professional,494050,1769,495819,46.0552642,1790510,NORTH
Punjab,FIROZPUR,2179919870,SAD,MALE,4,56,Post Graduate,631100,2327,633427,54.00975954,1618419,NORTH
Maharashtra,GADCHIROLI-CHIMUR,50136369,BJP,MALE,0,55,High School,517722,2246,519968,45.46231904,1581366,WEST
Gujarat,GANDHINAGAR,403275307,BJP,MALE,4,54,High School,889925,4699,894624,69.5758213,1945772,WEST
Rajasthan,GANGANAGAR,21014362,BJP,MALE,0,48,Graduate,892744,4433,897177,61.74291249,1943486,WEST
Uttarakhand,GARHWAL,15032657,BJP,MALE,0,55,Post Graduate,487613,19367,506980,67.77608145,1355796,NORTH
Assam,GAUHATI,630219570,BJP,FEMALE,0,67,Graduate,1007156,1780,1008936,57.19753961,2181319,NORTH EAST
Uttar Pradesh,GAUTAM BUDDHA NAGAR,478759568,BJP,MALE,0,59,Graduate Professional,828164,2648,830812,59.63588754,2302960,NORTH
Bihar,GAYA,12766141,JD(U),MALE,3,55,High School,465748,1259,467007,48.76573376,1704596,EAST
West Bengal,GHATAL,317320579,AITC,MALE,0,36,Illiterate,717407,552,717959,48.20658574,1800002,EAST
Uttar Pradesh,GHAZIABAD,56545702,BJP,MALE,2,67,Doctorate,942576,1927,944503,61.93068375,2728978,NORTH
Uttar Pradesh,GHAZIPUR,137938756,BSP,MALE,5,65,Post Graduate,564144,1938,566082,51.11363733,1881077,NORTH
Uttar Pradesh,GHOSI,66536025,BSP,MALE,13,36,Graduate,572459,1370,573829,50.27061359,1991651,NORTH
Jharkhand,GIRIDIH,13456889,AJSUP,MALE,2,50,Graduate,646864,1413,648277,58.55335653,1649413,EAST
Jharkhand,GODDA,462757500,BJP,MALE,4,47,Doctorate,635383,2227,637610,53.385836399999995,1716766,EAST
Uttar Pradesh,GONDA,232735285,BJP,MALE,0,53,Post Graduate,507276,914,508190,54.99159744,1770248,NORTH
Bihar,GOPALGANJ,32739903,JD(U),MALE,0,61,Post Graduate,562424,5726,568150,55.3722214,1839514,EAST
Uttar Pradesh,GORAKHPUR,208494688,BJP,MALE,0,51,High School,715010,2112,717122,60.52045488,1981197,NORTH
Karnataka,GULBARGA,37490597,BJP,MALE,0,60,Post Graduate,617692,2500,620192,52.09635514,1945765,SOUTH
Madhya Pradesh,GUNA,16266408,BJP,MALE,0,43,Graduate Professional,610855,3194,614049,52.09513475,1675724,WEST
Andhra Pradesh,GUNTUR,3051485242,TDP,MALE,0,53,Graduate,586292,1626,587918,43.50027783,1706119,SOUTH
Punjab,GURDASPUR,871925679,BJP,MALE,0,59,Illiterate,551177,7542,558719,50.58358819,1595284,NORTH
Haryana,GURGAON,420970754,BJP,MALE,0,69,Graduate Professional,877241,4305,881546,60.87600243,2150728,NORTH
Madhya Pradesh,GWALIOR,58911673,BJP,MALE,0,71,Graduate Professional,624801,2449,627250,52.40674148,2000744,WEST
Bihar,HAJIPUR,62834200,LJP,MALE,1,66,Graduate Professional,539665,1645,541310,53.71844236,1823664,EAST
Himachal Pradesh,HAMIRPUR,56770463,BJP,MALE,3,44,Graduate,668812,13880,682692,68.81372299,1362269,NORTH
Uttar Pradesh,HAMIRPUR,56770463,BJP,MALE,4,45,Post Graduate,574101,1021,575122,52.76208248,1749100,NORTH
Uttar Pradesh,HARDOI,234032624,BJP,MALE,0,61,Graduate,567244,899,568143,53.70748322,1807119,NORTH
Uttarakhand,HARDWAR,28739888,BJP,MALE,0,59,Doctorate,661050,4624,665674,52.27561326,1840738,NORTH
Karnataka,HASSAN,97848632,JD(S),MALE,0,28,Graduate Professional,675512,1094,676606,52.91552908,1652999,SOUTH
Uttar Pradesh,HATHRAS,14930000,BJP,MALE,0,61,High School,679799,4500,684299,59.42876051,1864320,NORTH
Maharashtra,HATKANANGLE,47771462,SHS,MALE,0,38,Graduate,582776,3000,585776,46.70094307,1776555,WEST
Karnataka,HAVERI,718499195,BJP,MALE,0,52,High School,681147,2513,683660,53.92116654,1708510,SOUTH
Jharkhand,HAZARIBAGH,770749002,BJP,MALE,0,55,Post Graduate,727359,1439,728798,67.39505559,1667465,EAST
Andhra Pradesh,HINDUPUR,1787356,YSRCP,MALE,2,50,Graduate,699739,6863,706602,52.73043006,1578218,SOUTH
Maharashtra,HINGOLI,18594458,SHS,MALE,0,48,Graduate,583392,2920,586312,50.59792003,1733729,WEST
Haryana,HISAR,146408734,BJP,MALE,0,46,Post Graduate,599951,3338,603289,51.04494711,1631817,NORTH
West Bengal,HOOGHLY,35655698,BJP,FEMALE,14,45,Graduate,670031,1417,671448,46.03265795,1766601,EAST
Madhya Pradesh,HOSHANGABAD,154783105,BJP,MALE,1,54,Graduate,876911,1016,877927,69.32987655,1706141,WEST
Punjab,HOSHIARPUR,29404519,BJP,MALE,0,70,Post Graduate,416711,4609,421320,42.48612183,1597500,NORTH
West Bengal,HOWRAH,13216066,AITC,MALE,1,64,Graduate,576499,212,576711,47.16669884,1633925,EAST
Telangana,HYDERABAD,179044376,AIMIM,MALE,5,49,Graduate Professional,517239,232,517471,58.94143228,1957931,SOUTH
Kerala,IDUKKI,13395011,INC,MALE,204,37,Post Graduate,497697,796,498493,54.21000719,1204191,SOUTH
Madhya Pradesh,INDORE,59038508,BJP,MALE,2,57,Graduate Professional,1066824,1745,1068569,65.57267296,2350580,WEST
Manipur,INNER MANIPUR,19616174,BJP,MALE,0,67,Doctorate,261802,1830,263632,34.66762048,937464,NORTH EAST
Madhya Pradesh,JABALPUR,43134351,BJP,MALE,1,56,Graduate,825674,780,826454,65.38091546,1819893,WEST
West Bengal,JADAVPUR,24398786,AITC,FEMALE,0,30,Graduate,687773,699,688472,47.90093531,1816857,EAST
